city,count
Berlin,1179
München,1030
Köln,476
Düsseldorf,305
Frankfurt am Main,278
Hamburg,250
Stuttgart,176
Freiburg im Breisgau,136
Mannheim,110
Essen,98
Bremen,89
Walldorf,86
Aachen,79
Dortmund,69
Karlsruhe,69
Dresden,64
Nürnberg,64
Coburg,57
Konstanz,49
Erlangen,48
Münster,45
Bielefeld,45
Bonn,43
Potsdam,43
Heilbronn,42
Mönchengladbach,42
Jena,41
Leipzig,39
Wiesbaden,37
Heidelberg,35
Koblenz,33
Darmstadt,33
Hannover,31
Ottobrunn,31
Braunschweig,30
Göttingen,29
Siegburg,28
Braunshardt,28
Ramstein-Miesenbach,27
Geesthacht,26
Einbeck,25
Biberach an der Riß,25
Kiel,25
Vogtei,24
Sindelfingen,23
Tübingen,21
Hammerles,20
Halle (Saale),20
Bochum,20
Regensburg,19
Ulm,15
Paderborn,15
Mülheim an der Ruhr,14
Reinbek,14
Renningen,14
Ettlingen,14
Saarwellingen,13
Eschborn,13
Osnabrück,12
Soest,12
Wasserburg am Inn,11
Ettenheim,11
Greifswald,11
Kleinmachnow,11
Leinefelde-Worbis,11
Lüdenscheid,10
Viechtach,10
Herzogenrath,10
Meckenbeuren,10
Ludwigshafen am Rhein,10
Moers,10
Breisach am Rhein,10
Eching,10
Mönsheim,10
Flensburg,9
Germering,9
Holzwickede,9
Saarbrücken,9
Gütersloh,9
Ludwigsburg,9
Neunkirchen-Seelscheid,9
Forchheim,8
Lippstadt,8
Mainz,8
Wolfsburg,8
Ichenhausen,8
Schwieberdingen,8
Lahr,8
Sailauf,8
Ochsenhausen,8
Alleshausen,7
Ismaning,7
Grasbrunn,7
Altenberge,7
Großwallstadt,7
Gronau,7
Niedernhall,7
Gescher,6
Völklingen,6
Bad Waldsee,6
Oelde,6
Langenfeld (Rheinland),6
Unterschleißheim,6
Eppingen,6
Kissing,6
Raubling,6
Kirchheim unter Teck,6
Pforzheim,5
Jülich,5
Waiblingen,5
Neuburg,5
Hilden,4
Neckarsulm (Kernstadt),4
Gaimersheim,4
Ahrensburg,4
Gaggenau,3
Bexbach,3
Kassel,3
Wangen im Allgäu,3
Hof,3
Raunheim,3
Andernach,3
Magdeburg,2
Weissach,2
Oldenburg,2
Dingolfing,2
