city,count
Berlin,1182
München,1030
Köln,482
Düsseldorf,310
Frankfurt am Main,278
Hamburg,250
Stuttgart,181
Freiburg im Breisgau,136
Mannheim,123
Bremen,102
Essen,89
Walldorf,86
Aachen,80
Karlsruhe,77
Dortmund,69
Dresden,64
Nürnberg,64
Coburg,57
Heidelberg,51
Konstanz,49
Erlangen,48
Münster,45
Bielefeld,45
Bonn,43
Potsdam,43
Mönchengladbach,42
Heilbronn,42
Jena,41
Leipzig,39
Wiesbaden,37
Koblenz,33
Darmstadt,33
Hannover,31
Ottobrunn,31
Braunschweig,30
Göttingen,29
Siegburg,28
Braunshardt,28
Ramstein-Miesenbach,27
Geesthacht,26
Biberach an der Riß,25
Einbeck,25
Kiel,25
Vogtei,24
Sindelfingen,23
Tübingen,21
Hammerles,20
Bochum,20
Halle (Saale),20
Regensburg,19
Ulm,15
Paderborn,15
Ettlingen,14
Reinbek,14
Renningen,14
Mülheim an der Ruhr,14
Eschborn,13
Saarwellingen,13
Osnabrück,12
Soest,12
Ettenheim,11
Holzgerlingen,11
Greifswald,11
Kleinmachnow,11
Leinefelde-Worbis,11
Wasserburg am Inn,11
Herzogenrath,10
Moers,10
Ludwigshafen am Rhein,10
Viechtach,10
Meckenbeuren,10
Mönsheim,10
Breisach am Rhein,10
Wuppertal,10
Lüdenscheid,10
Eching,10
Germering,9
Flensburg,9
Gütersloh,9
Neunkirchen-Seelscheid,9
Ludwigsburg,9
Holzwickede,9
Saarbrücken,9
Lahr,8
Ochsenhausen,8
Lippstadt,8
Wolfsburg,8
Sailauf,8
Forchheim,8
Ichenhausen,8
Schwieberdingen,8
Mainz,8
Grasbrunn,7
Altenberge,7
Crailsheim,7
Alleshausen,7
Großwallstadt,7
Ismaning,7
Gronau,7
Niedernhall,7
Kirchheim unter Teck,6
Gescher,6
Kissing,6
Eppingen,6
Langenfeld (Rheinland),6
Raubling,6
Oelde,6
Völklingen,6
Unterschleißheim,6
Bad Waldsee,6
Waiblingen,5
Jülich,5
Neuburg,5
Pforzheim,5
Gaimersheim,4
Neckarsulm (Kernstadt),4
Ahrensburg,4
Hilden,4
Raunheim,3
Bexbach,3
Kassel,3
Andernach,3
Gaggenau,3
Hof,3
Wangen im Allgäu,3
Magdeburg,2
Oldenburg,2
Dingolfing,2
Weissach,2
