Rank,Category,Skill,Count,Percentage
1,Statistics and Data,machine learning,1311,17.2
2,Occupational Attributes,python,815,10.69
3,Statistics and Data,sql,672,8.81
4,Decision Making and Analytical,implementierung,597,7.83
5,Decision Making and Analytical,analyse,561,7.36
6,Decision Making and Analytical,zusammenarbeit,476,6.24
7,General,mathematik,357,4.68
8,General,datenanalyse,346,4.54
9,Statistics and Data,pandas,337,4.42
10,Occupational Attributes,integration,285,3.74
11,Statistics and Data,statistik,215,2.82
12,Statistics and Data,big data,194,2.54
13,Communication,verantwortlich,142,1.86
14,Statistics and Data,spark,133,1.74
15,Statistics and Data,hadoop,129,1.69
16,Occupational Attributes,sap,74,0.97
17,Occupational Attributes,tableau,59,0.77
18,Statistics and Data,prognose,59,0.77
19,Specialized ML,computer vision,54,0.71
20,Cloud Platforms,aws,50,0.66
21,Cloud Platforms,azure,48,0.63
22,Communication,präsentation,46,0.6
23,Specialized ML,nlp,46,0.6
24,General,deutsch,39,0.51
25,Data Engineering,planung,39,0.51
26,Statistics and Data,vorhersage,37,0.49
27,Specialized ML,opencv,37,0.49
28,Decision Making and Analytical,kommunikation,35,0.46
29,Occupational Attributes,programmierung,35,0.46
30,Decision Making and Analytical,modellierung,29,0.38
