Rank,State (AI),Percentage (AI),State (ML),Percentage (ML)
1,Nordrhein-Westfalen,21.87,Nordrhein-Westfalen,22.0
2,Bayern,20.95,Bayern,20.79
3,Berlin,19.57,Berlin,19.42
4,Baden-Württemberg,15.75,Baden-Württemberg,16.08
5,Hessen,7.03,Hessen,6.98
6,Hamburg,3.06,Hamburg,3.03
7,Sachsen,2.14,Sachsen,2.12
8,Niedersachsen,1.83,Niedersachsen,1.82
9,Bremen,1.53,Bremen,1.52
10,Schleswig-Holstein,1.38,Schleswig-Holstein,1.37
11,Rheinland-Pfalz,1.38,Rheinland-Pfalz,1.37
12,Thüringen,1.22,Thüringen,1.21
13,Brandenburg,0.76,Brandenburg,0.76
14,Sachsen-Anhalt,0.61,Sachsen-Anhalt,0.61
15,Mecklenburg-Vorpommern,0.46,Mecklenburg-Vorpommern,0.46
16,Saarland,0.46,Saarland,0.46
