Rank,State (AI),Percentage (AI),State (ML),Percentage (ML)
1,Nordrhein-Westfalen,32.92,Nordrhein-Westfalen,31.43
2,Bayern,19.7,Bayern,19.12
3,Baden-Württemberg,13.75,Baden-Württemberg,15.07
4,Berlin,13.22,Berlin,14.06
5,Hessen,7.81,Hessen,7.72
6,Hamburg,3.28,Hamburg,3.22
7,Niedersachsen,1.86,Niedersachsen,1.93
8,Sachsen,1.86,Sachsen,1.93
9,Bremen,1.15,Bremen,1.1
10,Schleswig-Holstein,0.98,Schleswig-Holstein,1.01
11,Thüringen,0.89,Thüringen,0.92
12,Rheinland-Pfalz,0.8,Rheinland-Pfalz,0.83
13,Saarland,0.71,Saarland,0.55
14,Brandenburg,0.44,Brandenburg,0.46
15,Sachsen-Anhalt,0.35,Sachsen-Anhalt,0.37
16,Mecklenburg-Vorpommern,0.27,Mecklenburg-Vorpommern,0.28
