year,domain,state,count,percentage
2019,AI,Baden-Württemberg,52,10.99
2019,AI,Bayern,85,17.97
2019,AI,Berlin,21,4.44
2019,AI,Bremen,3,0.63
2019,AI,Hamburg,17,3.59
2019,AI,Hessen,42,8.88
2019,AI,Niedersachsen,9,1.9
2019,AI,Nordrhein-Westfalen,228,48.2
2019,AI,Saarland,5,1.06
2019,AI,Sachsen,7,1.48
2019,AI,Schleswig-Holstein,2,0.42
2019,AI,Thüringen,2,0.42
2019,ML,Baden-Württemberg,58,13.52
2019,ML,Bayern,71,16.55
2019,ML,Berlin,25,5.83
2019,ML,Bremen,2,0.47
2019,ML,Hamburg,15,3.5
2019,ML,Hessen,38,8.86
2019,ML,Niedersachsen,9,2.1
2019,ML,Nordrhein-Westfalen,197,45.92
2019,ML,Saarland,3,0.7
2019,ML,Sachsen,7,1.63
2019,ML,Schleswig-Holstein,2,0.47
2019,ML,Thüringen,2,0.47
2025,AI,Baden-Württemberg,103,15.75
2025,AI,Bayern,137,20.95
2025,AI,Berlin,128,19.57
2025,AI,Brandenburg,5,0.76
2025,AI,Bremen,10,1.53
2025,AI,Hamburg,20,3.06
2025,AI,Hessen,46,7.03
2025,AI,Mecklenburg-Vorpommern,3,0.46
2025,AI,Niedersachsen,12,1.83
2025,AI,Nordrhein-Westfalen,143,21.87
2025,AI,Rheinland-Pfalz,9,1.38
2025,AI,Saarland,3,0.46
2025,AI,Sachsen,14,2.14
2025,AI,Sachsen-Anhalt,4,0.61
2025,AI,Schleswig-Holstein,9,1.38
2025,AI,Thüringen,8,1.22
2025,ML,Baden-Württemberg,106,16.08
2025,ML,Bayern,137,20.79
2025,ML,Berlin,128,19.42
2025,ML,Brandenburg,5,0.76
2025,ML,Bremen,10,1.52
2025,ML,Hamburg,20,3.03
2025,ML,Hessen,46,6.98
2025,ML,Mecklenburg-Vorpommern,3,0.46
2025,ML,Niedersachsen,12,1.82
2025,ML,Nordrhein-Westfalen,145,22.0
2025,ML,Rheinland-Pfalz,9,1.37
2025,ML,Saarland,3,0.46
2025,ML,Sachsen,14,2.12
2025,ML,Sachsen-Anhalt,4,0.61
2025,ML,Schleswig-Holstein,9,1.37
2025,ML,Thüringen,8,1.21
