Rank,State (AI),Percentage (AI),State (ML),Percentage (ML)
1,Nordrhein-Westfalen,44.25,Nordrhein-Westfalen,39.57
2,Bayern,17.47,Bayern,17.83
3,Baden-Württemberg,12.47,Baden-Württemberg,14.08
4,Berlin,9.71,Berlin,11.86
5,Hessen,7.07,Hessen,6.78
6,Hamburg,2.64,Hamburg,2.51
7,Niedersachsen,1.32,Niedersachsen,1.33
8,Sachsen,1.15,Sachsen,1.33
9,Schleswig-Holstein,0.92,Schleswig-Holstein,1.03
10,Bremen,0.69,Bremen,0.88
11,Rheinland-Pfalz,0.57,Rheinland-Pfalz,0.66
12,Saarland,0.46,Thüringen,0.59
13,Thüringen,0.46,Saarland,0.52
14,Sachsen-Anhalt,0.29,Sachsen-Anhalt,0.37
15,Brandenburg,0.29,Brandenburg,0.37
16,Mecklenburg-Vorpommern,0.23,Mecklenburg-Vorpommern,0.29
