year,domain,state,count,percentage
2019,AI,Baden-Württemberg,89,9.07
2019,AI,Bayern,142,14.48
2019,AI,Berlin,21,2.14
2019,AI,Bremen,1,0.1
2019,AI,Hamburg,23,2.34
2019,AI,Hessen,64,6.52
2019,AI,Mecklenburg-Vorpommern,1,0.1
2019,AI,Niedersachsen,10,1.02
2019,AI,Nordrhein-Westfalen,613,62.49
2019,AI,Rheinland-Pfalz,1,0.1
2019,AI,Saarland,4,0.41
2019,AI,Sachsen,4,0.41
2019,AI,Sachsen-Anhalt,1,0.1
2019,AI,Schleswig-Holstein,7,0.71
2019,ML,Baden-Württemberg,57,9.56
2019,ML,Bayern,87,14.6
2019,ML,Berlin,12,2.01
2019,ML,Hamburg,11,1.85
2019,ML,Hessen,36,6.04
2019,ML,Mecklenburg-Vorpommern,1,0.17
2019,ML,Niedersachsen,5,0.84
2019,ML,Nordrhein-Westfalen,377,63.26
2019,ML,Saarland,3,0.5
2019,ML,Sachsen,2,0.34
2019,ML,Schleswig-Holstein,5,0.84
2025,AI,Baden-Württemberg,128,16.86
2025,AI,Bayern,162,21.34
2025,AI,Berlin,148,19.5
2025,AI,Brandenburg,5,0.66
2025,AI,Bremen,11,1.45
2025,AI,Hamburg,23,3.03
2025,AI,Hessen,59,7.77
2025,AI,Mecklenburg-Vorpommern,3,0.4
2025,AI,Niedersachsen,13,1.71
2025,AI,Nordrhein-Westfalen,157,20.69
2025,AI,Rheinland-Pfalz,9,1.19
2025,AI,Saarland,4,0.53
2025,AI,Sachsen,16,2.11
2025,AI,Sachsen-Anhalt,4,0.53
2025,AI,Schleswig-Holstein,9,1.19
2025,AI,Thüringen,8,1.05
2025,ML,Baden-Württemberg,134,17.61
2025,ML,Bayern,155,20.37
2025,ML,Berlin,149,19.58
2025,ML,Brandenburg,5,0.66
2025,ML,Bremen,12,1.58
2025,ML,Hamburg,23,3.02
2025,ML,Hessen,56,7.36
2025,ML,Mecklenburg-Vorpommern,3,0.39
2025,ML,Niedersachsen,13,1.71
2025,ML,Nordrhein-Westfalen,160,21.02
2025,ML,Rheinland-Pfalz,9,1.18
2025,ML,Saarland,4,0.53
2025,ML,Sachsen,16,2.1
2025,ML,Sachsen-Anhalt,5,0.66
2025,ML,Schleswig-Holstein,9,1.18
2025,ML,Thüringen,8,1.05
