year,domain,category,skill,count,percentage
2019,AI,Administrative,issue management,1,0.03
2019,AI,Analytical,analytisch,7,0.19
2019,AI,Analytical,business analytics,7,0.19
2019,AI,Analytical,data analytics,97,2.59
2019,AI,Analytical,datenanalyse,13,0.35
2019,AI,Analytical,google analytics,2,0.05
2019,AI,Analytical,insight,3,0.08
2019,AI,BigData,big data,216,5.76
2019,AI,BigData,hadoop,38,1.01
2019,AI,BigData,hive,2,0.05
2019,AI,BigData,mapreduce,2,0.05
2019,AI,BigData,nosql,14,0.37
2019,AI,BigData,oozie,1,0.03
2019,AI,BigData,spark,34,0.91
2019,AI,BigData,unstructured data,2,0.05
2019,AI,Communication_Generic,competitive,1,0.03
2019,AI,Communication_Generic,erfolgsorientiert,2,0.05
2019,AI,Communication_Generic,responsible,23,0.61
2019,AI,Communication_Generic,verantwortlich,16,0.43
2019,AI,Communication_Presentation,present,5,0.13
2019,AI,Communication_Presentation,presentation,1,0.03
2019,AI,Communication_Presentation,präsentation,11,0.29
2019,AI,Communication_Presentation,report,10,0.27
2019,AI,Communication_Presentation,reporting,30,0.8
2019,AI,Communication_Verbal,oral,3,0.08
2019,AI,Communication_Verbal,verbal,2,0.05
2019,AI,Communication_Written,content creation,1,0.03
2019,AI,Communication_Written,copywriting,1,0.03
2019,AI,Creativity,creative,6,0.16
2019,AI,Creativity,innovativ,1,0.03
2019,AI,Creativity,kreativ,2,0.05
2019,AI,DataMining,anomaly detection,2,0.05
2019,AI,DataMining,associations,1,0.03
2019,AI,DataMining,classification,3,0.08
2019,AI,DataMining,datenanalyse,13,0.35
2019,AI,DataMining,entscheidungsbäume,2,0.05
2019,AI,DataMining,forecasting,5,0.13
2019,AI,DataMining,machine learning,221,5.9
2019,AI,DataMining,maschinelles lernen,16,0.43
2019,AI,DataMining,prediction,2,0.05
2019,AI,DataMining,prognose,1,0.03
2019,AI,DataMining,text mining,10,0.27
2019,AI,DecisionMaking,analyse,125,3.34
2019,AI,DecisionMaking,analysis,41,1.09
