job_id,year,job_title,company,location,job_text,matched_keywords,posting_date,matched_keywords,job_domain_keywords,city,state
2025_0323,2025,Java Entwickler*innen mit Fokus auf KI,IT Schmoldt GmbH,Home Office,"Java Entwickler*innen mit Fokus auf KI Deine Aufgaben: * Entwicklung und Weiterentwicklung von Java-basierten Anwendungen mit Fokus auf skalierbare, performante Softwarelösungen * Integration und Anbindung von KI-Komponenten (z. B. über REST-APIs, Python-Services oder AI-Bibliotheken) * Zusammenarbeit mit Data Scientists und KI-Experten zur Umsetzung innovativer Features * Mitgestaltung moderner Softwarearchitekturen im Umfeld von Machine Learning, NLP oder Computer Vision * Aktive Beteiligung an Code Reviews, Qualitätssicherung und agilen Entwicklungsprozessen (Scrum, Kanban) Dein Profil: * Abgeschlossenes Studium in (Wirtschafts-)Informatik oder vergleichbare Qualifikation * Sehr gute Kenntnisse in Java (z. B. Spring, Maven, JPA, REST) * Erste Berührungspunkte oder großes Interesse an AI-Technologien (z. B. TensorFlow, OpenAI, Hugging Face, LLMs) * Erfahrung mit Cloud-Umgebungen (z. B. AWS, Azure, GCP) ist von Vorteil * Analytisches Denkvermögen, Teamgeist und Lust auf neue Technologien Das bieten wir dir: * Mitarbeit an spannenden AI-Projekten mit gesellschaftlicher und technologischer Relevanz * Freiraum für Innovation: Zeit für eigene AI-Experimente & Fortbildungen * Flexible Arbeitszeiten und die Möglichkeit für Remote Work * Moderne Tools & Infrastruktur (CI/CD, GitLab, Docker, Kubernetes) * Ein motiviertes, interdisziplinäres Team mit flachen Hierarchien Art der Stelle: Vollzeit Gehalt: 40.000,00€ - 84.945,73€ pro Jahr Arbeitszeiten: * Gleitzeit * Montag bis Freitag Leistungen: * Betriebliche Weiterbildung * Firmenevents * Firmenhandy * Flexible Arbeitszeiten * Homeoffice-Möglichkeit Sonderzahlung: * Zusatzzahlungen Arbeitsort: Homeoffice","machine learning, ai, ki, nlp, llms, computer vision, tensorflow",2025-06-26,"machine learning, ai, ki, nlp, llms, computer vision, tensorflow","machine learning, artificial intelligence",Köln,Nordrhein-Westfalen
2025_0392,2025,Ausbildung Fachinformatiker für Daten- und Prozessanalyse...,SHD,56626 Andernach,"Ausbildung Fachinformatiker für Daten- und Prozessanalyse... Du hast Lust auf Daten, digitale Prozesse und willst verstehen, wie Unternehmen effizienter arbeiten können? Als Fachinformatikerin für Daten- und Prozessanalyse bei SHD lernst du, wie man Prozesse durchleuchtet, Daten auswertet und daraus clevere IT-Lösungen entwickelt. Wir suchen Dich zum 01.08.2026! Deine Herausforderung bei uns Du analysierst Geschäftsprozesse und findest heraus, wie man sie verbessern kann. Du sammelst und verarbeitest Daten – und ziehst daraus wichtige Schlüsse. Du entwickelst Softwarelösungen, die den Arbeitsalltag einfacher machen. Du digitalisierst und automatisierst Prozesse – für mehr Effizienz. Du lernst, worauf es bei IT-Sicherheit und Datenschutz ankommt. Du tauchst ein in Themen wie Big Data, KI und Machine Learning. Dieses Team erwartet dich Über 45 Auszubildende in verschiedenen IT-Berufsbildern und unterstützende Fachbetreuer, die sich auf deine tatkräftige Unterstützung freuen! So überzeugst du Hast du Fachabitur oder Abitur? Hast du Spaß an Mathematik, IT und logischem Denken? Interessierst du dich für Daten, Analysen und digitale Abläufe? Bist du ein Teamplayer und bringst gerne eigene Ideen mit ein? Magst du es, komplexe Probleme zu durchdringen und zu lösen? Auch wenn du nicht jeden Punkt erfüllst, aber der Meinung bist, du passt zu uns, dann freuen wir uns auf jeden Fall auf deine Bewerbung! Das kannst du erwarten Moderne Arbeitsplätze und die Möglichkeit zum mobilen Arbeiten Ein starkes Azubi-Team mit über 45 Mitstreitern in IT-Berufen Engagierte Ausbilder und feste Ansprechpartner Kostenlos Wasser, Kaffee, Obst – plus Parkplätze & Ladesäulen SHD-Jobrad & weitere Benefits Weihnachts- und Urlaubsgeld Betriebliche Altersvorsorge & vermögenswirksame Leistungen Neugierig? Dann bewirb dich jetzt für deine Ausbildung bei SHD in Andernach! SHD Group Holding GmbH SHD ist eine international tätige Unternehmensgruppe mit Hauptsitz in Andernach und seit 40 Jahren führender Anbieter von IT-Lösungen und Dienstleistungen für die Möbel- und Küchenbranche. Aktuell sind mehr als 650 Mitarbeitende bei der SHD-Gruppe beschäftigt. Das Portfolio umfasst ERP- und Organisationslösungen, Raumplanungs-, Konfigurations- und Visualisierungssysteme, Logistiksoftware sowie Finanz- und Personalwirtschaftssysteme. SHD managt Cloud-Lösungen in einem deutschen Rechenzentrum und konfiguriert passgenaue IT-Lösungen.","machine learning, ki",2025-06-20,"machine learning, ki","machine learning, artificial intelligence",Andernach,Rheinland-Pfalz
2019_0104,2019,IT Infrastructure Architect Jobs in Franken,Firmen Franken FERCHAU GmbH,Deutschland,"IT Infrastructure Architect Jobs in Franken **Überblick:** Als IT Infrastructure Architect (m/w/d) bei der FERCHAU GmbH in Franken sind Sie verantwortlich für die Planung und Implementierung von IT-Infrastrukturen unter Berücksichtigung moderner Technologien. Dazu gehört auch der Einsatz von Künstlicher Intelligenz (artificial intelligence) zur Optimierung und Automatisierung von Prozessen. **Aufgaben:** - Entwicklung und Implementierung von IT-Infrastrukturlösungen - Integration von Künstlicher Intelligenz (artificial intelligence) in bestehende Systeme zur Prozessoptimierung - Zusammenarbeit mit verschiedenen Abteilungen zur Sicherstellung einer effizienten und sicheren IT-Umgebung **Anforderungen:** - Abgeschlossenes Studium im Bereich Informatik, Wirtschaftsinformatik oder eine vergleichbare Qualifikation - Erfahrung in der Planung und Implementierung von IT-Infrastrukturen - Kenntnisse in Künstlicher Intelligenz (artificial intelligence) und deren Anwendung in der IT-Infrastruktur - Vertrautheit mit modernen Technologien wie Docker, Kubernetes, AWS oder Microsoft Azure",artificial intelligence,2019-12-14,artificial intelligence,artificial intelligence,Köln,Nordrhein-Westfalen
2025_0008,2025,Mathematician,Circonomit,50670 Köln,"Mathematician At Circonomit, we’re dedicated to revolutionising how organisations perceive and manage their resources. Our mission is to build the strategic twin of organisations—a sophisticated control system that comprehensively understands the true impact of time, money, and resources. We are committed to eliminating adverse outcomes resulting from hidden interdependencies, enabling organizations to operate more efficiently and sustainably. We are seeking an advanced mathematician with strong operations research exposure and a focus on models and optimization to join our dynamic team. In this role, you will bring decision-making and computation algorithms to life. As a key contributor, you will ensure the mathematical backbone and algorithms of our strategic twin, working closely with the founders. If you are passionate about math, models, and operations research for driving strategic decision-making and thrive in a fast-paced, nerdy environment, we would love to hear from you! Responsibilities Shape and own the mathematical backbone and computational algorithms of our strategic twin Design and implement computations to analyse interdependencies in time, money, and resources, developing optimisation routes for real-world use cases (e.g., trade-offs, resource allocation, scheduling) Collaborate and code with software engineers to integrate mathematical solutions into our control system. Conduct data analysis to validate mathematical models and their effectiveness, especially managing the numerical stability and performance in algorithmic computations Engage in research to stay updated on advancements in mathematics and how they interrelate with AI capabilities Requirements 3+ years of experience in applied maths and operations research with a deep care for optimisation and game theory Proven ability to model and reason about real-world systems, processes, and causal structures Proficiency in Python, especially with NumPy, SciPy, SymPy, and numerical solvers Ability to translate complex mathematical concepts to non-technical stakeholders and code Advanced experience with numerical methods, such as approximation, interpolation, and numerical solvers Advanced experience with linear and nonlinear systems of equations, matrix algebra, differential equations, stochastic models, and agent-based systems Familiarity with machine learning concepts and techniques is a plus Having a Master's or Ph.D. degree in Mathematics or a related field is appreciated You must speak English and German at level C1 or higher You already live or are willing to relocate to Cologne, Germany Benefits We are an early-stage organisation that values speed of development without cutting corners on core product quality. We are in the game to build a scalable and maintainable decision infrastructure and seek obsessed nerds and engineers, not just programmers or theoretical thinkers, who push the edge between language models and mathematical computation into simple, coherent computation flows. Everyone should have skin in the game why we offer both competitive salaries and equity packages. Ownership and authority in decision-making are not only possible but required. We love hard work and sports, so that benefit is also covered. Can't wait to chat! “Hustle the day, analyze at night, reinforce something outstanding” Period. Erik & Dana","machine learning, ai",2025-07-07,"machine learning, ai","machine learning, artificial intelligence",Köln,Nordrhein-Westfalen
2019_0820,2019,Jobs - Petershagen,,Deutschland,"Jobs - Petershagen **JOBTITEL:** Data Scientist (m/w/d) **STANDORT:** Petershagen, Deutschland **Überblick:** Als Data Scientist bei der HARTING Technologiegruppe in Petershagen sind Sie verantwortlich für die Entwicklung und Implementierung von Machine Learning Modellen zur Optimierung unserer Produktionsprozesse. Ihre Arbeit trägt maßgeblich dazu bei, die Effizienz und Qualität unserer Produkte zu steigern. **Aufgaben:** - Entwicklung und Optimierung von Machine Learning Modellen zur Prognose und Analyse von Produktionsdaten - Datenanalyse und -aufbereitung mit Python, R und SQL - Implementierung von Algorithmen mit Frameworks wie scikit-learn, TensorFlow und Keras - Zusammenarbeit mit verschiedenen Abteilungen zur Integration von Machine Learning Lösungen in bestehende Systeme **Anforderungen:** - Abgeschlossenes Studium im Bereich Informatik, Mathematik oder einer verwandten Fachrichtung - Erfahrung in der Anwendung von Machine Learning Techniken und Frameworks wie scikit-learn, TensorFlow und Keras - Kenntnisse in Programmiersprachen wie Python und R sowie Datenbankabfragesprachen wie SQL - Verständnis von statistischen Methoden und Datenvisualisierungstechniken - Erfahrung mit Tools wie Pandas, NumPy und Matplotlib zur Datenanalyse und -aufbereitung","machine learning, data scientist, tensorflow",2019-09-18,"machine learning, data scientist, tensorflow","machine learning, artificial intelligence",Frankfurt am Main,Hessen
2019_0991,2019,Cloud Consultant Jobs in Westdeutschland,Firmen Deutsche Bahn AG,Deutschland,"Cloud Consultant Jobs in Westdeutschland **Überblick:** Als Cloud Consultant (m/w/d) bei der Deutschen Bahn AG beraten Sie unsere Kunden in allen Fragen rund um Cloud-Lösungen und -Sicherheit. Sie entwickeln maßgeschneiderte Strategien und setzen diese erfolgreich um, um das Sicherheitsniveau unserer Cloud-Dienste zu erhöhen. **Aufgaben:** - Beratung und Planung von Maßnahmen zur Erhöhung des Sicherheitsniveaus gängiger Cloud-Lösungen wie Microsoft Azure, AWS und anderen. - Entwicklung und Umsetzung von Cloud-Migrationsstrategien und Sicherheitskonzepten in Zusammenarbeit mit dem Cloud-Fachteam. - Erstellung und Qualitätssicherung von Cloud-Architekturen. - Anwendung von künstlicher Intelligenz zur Optimierung von Cloud-Sicherheitslösungen. **Anforderungen:** - Abgeschlossenes Studium in Informatik, Wirtschaftsinformatik oder einem vergleichbaren Fachgebiet. - Fundierte Kenntnisse in Cloud-Technologien wie Microsoft Azure und AWS. - Erfahrung im Bereich IT-Sicherheit und Cloud-Architektur. - Verständnis von künstlicher Intelligenz (artificial intelligence) und deren Anwendungsmöglichkeiten in der Cloud-Sicherheit. - Gute Deutsch- und Englischkenntnisse sowie ausgeprägte Kommunikationsfähigkeiten.",artificial intelligence,2019-08-17,artificial intelligence,artificial intelligence,Köln,Nordrhein-Westfalen
2025_0580,2025,Duales Studium 2025: Bachelor of Science - Data Science & Künstliche Intelligenz,Ernst Klett Verlag GmbH,Stuttgart,"Duales Studium 2025: Bachelor of Science - Data Science & Künstliche Intelligenz Ihre Aufgaben bei uns Als duale:r Studierende:r absolvieren Sie Ihr Studium im Rahmen der Theoriephasen an der DHBW in Mosbach und erlangen am Ende den Abschluss Bachelor of Science. Dabei tauchen Sie in die Themenwelten von Datenanalyse und künstlicher Intelligenz ein. Neben Methoden und Techniken zum Sammeln, Analysieren und Interpretieren von Daten lernen Sie beispielsweise die Anwendung von KI-Technologien wie Machine Learning, neuronalen Netzen und Sprachverarbeitung zur Lösung komplexer Probleme kennen. Während Ihrer Praxisphasen in unserem Unternehmen haben Sie die Möglichkeit, praktische Erfahrungen zu sammeln und wertvolle Kontakte für die Zukunft zu knüpfen. Sie denken Prozesse neu, treiben Veränderungen voran und übernehmen Verantwortung. Das Studium wird durch erfahrene Dozenten (in der DHBW) und Ausbildungsbeauftragte (im Betrieb) begleitet. Das sind Sie und Ihre Fähigkeiten Sie haben Ihr Abitur oder die allgemeine / fachgebundene Hochschulreife mit sehr guten Leistungen abgeschlossen. Sie verfügen über Englischkenntnisse auf Niveau B2. Sie zeichnen sich durch Ihre guten Leistungen im Fach Mathematik sowie durch Ihre Affinität / Ihr Interesse für das Programmieren aus. Eine Leidenschaft für technologische Innovation und die Fähigkeit, sich schnell an neue Technologien anzupassen, runden Ihr Profil ab.","machine learning, ki, künstliche intelligenz, data science",2025-06-03,"machine learning, ki, künstliche intelligenz, data science","machine learning, artificial intelligence",Erlangen,Bayern
2019_0509,2019,Machine Learning Engineer Jobs in Saarbrücken,Saarbrücken Deutsche Bahn AG,Deutschland,"Machine Learning Engineer Jobs in Saarbrücken **Überblick:** Als Machine Learning Engineer bei der Deutschen Bahn AG in Saarbrücken entwickeln und optimieren Sie KI-basierte Systeme zur Verbesserung unserer betrieblichen Prozesse. Sie arbeiten eng mit unserem interdisziplinären Team zusammen, um innovative Lösungen für den Bahnbetrieb zu implementieren. **Aufgaben:** - Entwicklung und Implementierung von Machine Learning Modellen zur Optimierung von betrieblichen Abläufen - Anwendung von künstlicher Intelligenz (KI) in der Datenanalyse und -verarbeitung - Zusammenarbeit mit dem Team zur Integration von Machine Learning Lösungen in bestehende Systeme - Durchführung von Datenanalysen und Modellbewertungen mithilfe von Python, scikit-learn und TensorFlow **Anforderungen:** - Abgeschlossenes Studium in Informatik, Mathematik oder einem verwandten Bereich - Erfahrung in der Entwicklung und Anwendung von Machine Learning Modellen - Kenntnisse in Python, SQL sowie in den Frameworks scikit-learn und TensorFlow - Verständnis von Big Data Technologien wie Apache Spark und Hadoop - Teamfähigkeit und selbstständige Arbeitsweise","machine learning, ki, tensorflow",2019-11-12,"machine learning, ki, tensorflow","machine learning, artificial intelligence",Saarbrücken,Saarland
2025_0766,2025,AI Product Manager (m/w/d),WasteAnt,28217 Bremen,"AI Product Manager (m/w/d) *AI Product Manager (m/w/d)* *WasteAnt steht für technologische Innovation mit echtem Impact *– wir nutzen Künstliche Intelligenz, um die Abfallwirtschaft intelligenter und nachhaltiger zu gestalten. Bei uns arbeitest du nicht nur in einem innovativen Deep-Tech-Start-up, sondern gestaltest aktiv die Transformation einer gesamten Branche mit. In der Rolle des *AI Product Managers (m/w/d)* übernimmst du eine zentrale Funktion bei der Weiterentwicklung unserer KI-Produkte – von der strategischen Konzeption über die Produktisierung funktionsfähiger Prototypen bis hin zur operativen Umsetzung. Dabei arbeitest du eng mit einem interdisziplinären Team zusammen und treibst innovative Lösungen entlang des gesamten Produktlebenszyklus voran. *Das bieten wir* * Gestaltungsfreiheit: Entwickle unsere KI-Produkte von der Strategie bis zum Roll-out aktiv mit. * Agiles Umfeld: Flache Hierarchien, schnelle Entscheidungen, viel Eigenverantwortung. * Starkes Team: Interdisziplinäres Arbeiten mit Experten aus ML, CV, Data Science & Engineering. * Top Rahmenbedingungen: Neues Büro in Bremen, flexible Zeiten & Beteiligung via VSOP. * Innovationskultur: Raum für Ideen, nachhaltige Lösungen und echten Impact. *Das sind deine Aufgaben* * Strategie & Vision: Entwickle eine klare Produktstrategie entlang von Markt- und Kundenbedürfnissen. * Technologie in Nutzen übersetzen: Forme aus Tech-Potenzial konkrete, marktfähige KI-Lösungen. * Team-Connector: Koordiniere zwischen Tech und Business für reibungslose Entwicklung. * Prototyping: Baue und teste innovative Ideen durch Prototypen und Machbarkeitsstudien. * Produktverantwortung: Steuere den gesamten Produktlebenszyklus – von der Idee bis zur Optimierung. * Performance sichern: Stelle den stabilen 24/7-Betrieb unserer KI-Modelle sicher. * Feedback nutzen: Analysiere Kundenfeedback und optimiere kontinuierlich unsere Lösungen. *Das wünschen wir uns von Dir:* * Ein erfolgreich abgeschlossenes Studium in Informatik, Robotik, Data Science oder einem vergleichbaren technischen Fach * Mindestens 5 Jahre Erfahrung in der Entwicklung technologiegetriebener Produkte – idealerweise im Umfeld von KI, Machine Learning oder Robotik * Fundiertes technisches Verständnis rund um KI-Anwendungen, ML-Modelle und agile Produktentwicklungsprozesse * Die Fähigkeit, komplexe technische Anforderungen in marktfähige Lösungen zu übersetzen – mit einem guten Gespür für Business-Prioritäten * Kommunikationsstärke, Eigeninitiative und ein kooperativer Teamgeist – gepaart mit der Bereitschaft zu gelegentlichen Dienstreisen * Nachweisliche Erfahrung in der Leitung von Kundenprojekten – inkl. Führung interdisziplinärer Teams von mindestens 3 Personen *Werde Teil unseres Teams und gestalte die Zukunft des Abfallmanagements aktiv mit!* Art der Stelle: Vollzeit, Festanstellung Arbeitszeiten: * Montag bis Freitag Leistungen: * Homeoffice-Möglichkeit Möglichkeit zu pendeln/umzuziehen: * 28217 Bremen: bereit sein zu pendeln oder vor Antritt der Stelle einen Umzug zu planen (Erforderlich) Sprache: * Deutsch (Erforderlich) Arbeitsort: Zum Teil im Homeoffice in 28217 Bremen Voraussichtliches Einstiegsdatum: 01.10.2025","ml, machine learning, ai, ki, künstliche intelligenz, data science",2025-05-21,"ml, machine learning, ai, ki, künstliche intelligenz, data science","machine learning, artificial intelligence",Bremen,Bremen
2025_0082,2025,Data Science/Engineering Consultant (m/w/d),TRUSTEQ GmbH,80339 München,"Data Science/Engineering Consultant (m/w/d) DEINE AUFGABEN Als Consultant (m/w/d) mit Fokus auf Data Science & Engineering wirst Du Teil unseres Bereichs IT Strategy & ESG. In dieser Schnittstellenfunktion arbeitest Du an der Nahtstelle zwischen Technologie, Nachhaltigkeit und Business – und gestaltest aktiv die digitale und nachhaltige Transformation unserer international agierenden Kund:innen in den Branchen Finanzdienstleistung, Versicherung und Energie. Du entwickelst moderne Datenhaltungsprozesse, analysierst komplexe Datenstrukturen und übersetzt diese in fundierte Erkenntnisse und konkrete Handlungsempfehlungen. So unterstützt Du Unternehmen dabei, datenbasierte Entscheidungen entlang ihrer strategischen und operativen Zielsetzungen zu treffen – insbesondere auch im Kontext moderner Steuerungsanforderungen im Bereich ESG (Environmental, Social, Governance). Data Engineering und Data Analytics sehen wir als zentrale, cross-funktionalen Enabler innerhalb unseres Beratungsportfolios. In Deiner Rolle arbeitest Du eng mit verschiedenen Fachbereichen zusammen und bringst datenbasierte Perspektiven in strategische, technologische und nachhaltigkeitsbezogene Fragestellungen ein. Dabei gestaltest Du an der Schnittstelle von IT Strategy & ESG die Grundlagen für fundierte Entscheidungen, innovative Lösungen und nachhaltige Wirkung – sowohl technologisch als auch fachlich. Du analysierst komplexe Geschäftsprozesse und Systemlandschaften Du berätst unsere Kunden beim Aufbau von Datenmodellen und Datenpipelines für moderne Data Lakes, Data Warenhauses sowie Lakehouses Du hast selbstständige Designs und Implementierungen von KI-Algorithmen sowie die Einbindung der Modelle in Anwendung Du baust MLOps Prozesse auf und integrierst ML-Modelle Du gestaltest die Architektur und Dokumentation von Datenplattformen und Prozessen. Du supportest die Anwender be der effizienten Nutzung & Weiterentwicklung von Datenplattformen und Analytics-Lösungen Du designst und entwickelst BI-Lösungen, Reports und Dashboards DEIN PROFIL Du hast ein gutes bis sehr gutes abgeschlossenes Studium im IT-Bereich z.B. (Wirtschafts-) Informatik, Data Science, Data Engineering, Softwareentwicklung oder verwandten Disziplinen Du hast nachgewiesene Expertise in der Programmierung mit Python, insb. mit gängigen Bibliotheken wie Pandas, TensorFlow, PyTorch oder Scikit-learn Du hast Erfahrung mit gängigen Machine-Learning-Techniken wie Deep Learning, neuronale Netze, Entscheidungsbäume, etc Du hast bereits Projekterfahrung mit Datenbanken und Datenmodellierung (z. B. SQL, NoSQL, Graphen-Datenbanken) Du hast Erfahrung in der Anwendung von Software-Engineering-Praktiken wie Versionskontrolle, Continuous Integration / Continuous Deployment (CI/CD). Du hast Erfahrung in der Visualisierung & Präsentation von Daten mit Tools wie Power BI Du hast Erfahrung in der Arbeit mit großen Datenmengen und mit modernen Datenplattformen (insb. Databricks) Du hast Erfahrungen mit MLOps und Tools wie MLflow sind von Vorteil Du hast eine eigenständige und strukturierte Arbeitsweise, Teamfähigkeit und Kommunikationsstärke Du hast gute Deutsch- und Englischkenntnisse in Wort und Schrif DEINE BENEFITS Unterstützende Teamkultur: Wir suchen nach Menschen die Lust haben etwas zu bewegen und unseren Kund:innen dabei helfen, über sich hinaus zu wachsen. Doch bei uns wirst du nicht nur gefordert, sondern auch gefördert. Wir unterstützen deine Kreativität und möchten gemeinsam mit dir deine innovativen Ideen in die Realität umsetzen. Dabei ist uns ein guter Teamzusammenhalt sehr wichtig - wir helfen uns gegenseitig, packen überall mit an und feiern gemeinsam unsere Erfolge. Schnelle Verantwortungsübernahme: TRUSTEQ bietet als noch junges Unternehmen nicht nur schnelle Prozesse, sondern auch direkte Gestaltungsmöglichkeiten und Verantwortungsübernahme für unser Team. So übernimmst du nach Tag 1 spannende Aufgaben, bei denen du die Verantwortung trägst. Klare Karriere- und Weiterbildungsmöglichkeiten: Bei TRUSTEQ glauben wir daran, dass persönliche Entwicklung der Schlüssel zu gemeinsamen Erfolgen ist. Deshalb unterstützen wir deine Weiterbildung durch regelmäßiges, konstruktives Feedback sowie ein vielfältiges Angebot an Schulungen und Trainings. Dabei bestimmst du selbst das Tempo und die Richtung deiner Entwicklung – ob Fachkarriere oder Führungsrolle, wir begleiten dich auf deinem individuellen Weg Kreativer Arbeitsplatz: Kreative Lösungen brauchen Zeit und Freiheit, das wissen wir. In der Umsetzung bleibt es deshalb völlig dir überlassen, welche Software, Hardware oder Methode du nutzt, um deine kreativen Ideen in die Praxis umzusetzen. Unsere Mitarbeiterbenefits: Wir leben nach dem Motto: People First! Deshalb haben wir für dich diverse Angebote von flexiblen Arbeitsmodellen, Bahn-Card, Job-Rad bis hin zur Spendit-Card oder dem Wellpass sowie eine betriebliche Altersvorsorge. Team-Events: Erfolge feiern wir gemeinsam – und zwar nicht nur im Büro. Unsere regelmäßigen Team-Events sorgen für unvergessliche gemeinsame Erlebnisse, stärken unseren Zusammenhalt und schaffen den Raum, sich auch außerhalb des Arbeitsalltags besser kennenzulernen. Denn wir glauben: Ein starkes Team entsteht durch echte Verbindung. Freiräume für kreatives Arbeiten: Innovation entsteht dort, wo kreative Köpfe den nötigen Freiraum haben. Deshalb bieten wir dir maximale Gestaltungsfreiheit in deiner Arbeitsweise – von der Wahl deiner Tools über Methoden bis hin zu deinem bevorzugten Arbeitsmodell. Du weißt am besten, wie du deine Ideen zum Leben erweckst – und wir geben dir dafür die Bühne. Attraktive Urlaubsregelung: Bei TRUSTEQ stehen dir 30 Urlaubstage im Jahr zur Verfügung – ergänzt durch einen zusätzlichen freien Tag am 24. Dezember. So schaffen wir Raum für Erholung und eine gesunde Balance zwischen Berufs- und Privatleben. Über uns Wir sind eine dynamische und schnellwachsende Unternehmensberatung, die das Beste aus beiden Welten vereint: die Agilität eines Startups kombiniert mit der Expertise und Erfahrung unseres Top-Managements. Wir unterstützen führende Unternehmen in den Bereichen IT-Strategy, Cybersecurity, Data Analytics, Cloud, AI und ESG. Bei uns erwarten Dich flache Hierarchien, eine herausragende Teamkultur und Raum für Deine persönliche und berufliche Weiterentwicklung. An unseren Standorten in München, Köln und Zagreb kannst Du gemeinsam mit einem kreativen, interdisziplinären Team innovative Lösungen gestalten und die Zukunft aktiv mitprägen. Bewirb dich jetzt und werde Teil von TRUSTEQ!","ml, ai, ki, deep learning, data science,  ml-, pytorch, tensorflow, mlops",2025-07-02,"ml, ai, ki, deep learning, data science,  ml-, pytorch, tensorflow, mlops","machine learning, artificial intelligence",Köln,Nordrhein-Westfalen
