Rank,State (AI),Percentage (AI),State (ML),Percentage (ML)
1,Nordrhein-Westfalen,21.38,Nordrhein-Westfalen,21.5
2,Bayern,20.84,Bayern,20.43
3,Berlin,18.81,Berlin,18.69
4,Baden-Württemberg,17.32,Baden-Württemberg,17.89
5,Hessen,7.44,Hessen,7.34
6,Hamburg,2.98,Hamburg,2.94
7,Sachsen,2.17,Sachsen,2.14
8,Niedersachsen,1.76,Niedersachsen,1.74
9,Bremen,1.49,Bremen,1.6
10,Schleswig-Holstein,1.22,Schleswig-Holstein,1.2
11,Rheinland-Pfalz,1.22,Rheinland-Pfalz,1.2
12,Thüringen,1.08,Thüringen,1.07
13,Sachsen-Anhalt,0.68,Sachsen-Anhalt,0.67
14,Brandenburg,0.68,Brandenburg,0.67
15,Saarland,0.54,Saarland,0.53
16,Mecklenburg-Vorpommern,0.41,Mecklenburg-Vorpommern,0.4
