Rank,State (AI),Percentage (AI),State (ML),Percentage (ML)
1,Nordrhein-Westfalen,30.79,Nordrhein-Westfalen,31.41
2,Bayern,17.15,Baden-Württemberg,16.67
3,Baden-Württemberg,16.33,Bayern,16.59
4,Berlin,14.08,Berlin,14.0
5,Hessen,7.94,Hessen,7.93
6,Hamburg,3.97,Hamburg,3.78
7,Sachsen,2.4,Sachsen,2.37
8,Niedersachsen,1.8,Niedersachsen,1.85
9,Schleswig-Holstein,1.2,Schleswig-Holstein,1.11
10,Rheinland-Pfalz,1.12,Rheinland-Pfalz,1.04
11,Bremen,0.97,Bremen,0.96
12,Thüringen,0.75,Thüringen,0.74
13,Saarland,0.52,Saarland,0.52
14,Sachsen-Anhalt,0.37,Sachsen-Anhalt,0.44
15,Brandenburg,0.37,Brandenburg,0.37
16,Mecklenburg-Vorpommern,0.22,Mecklenburg-Vorpommern,0.22
