year,domain,state,count,percentage
2019,AI,Baden-Württemberg,90,15.1
2019,AI,Bayern,75,12.58
2019,AI,Berlin,49,8.22
2019,AI,Bremen,2,0.34
2019,AI,Hamburg,31,5.2
2019,AI,Hessen,51,8.56
2019,AI,Niedersachsen,11,1.85
2019,AI,Nordrhein-Westfalen,253,42.45
2019,AI,Rheinland-Pfalz,6,1.01
2019,AI,Saarland,3,0.5
2019,AI,Sachsen,16,2.68
2019,AI,Schleswig-Holstein,7,1.17
2019,AI,Thüringen,2,0.34
2019,ML,Baden-Württemberg,91,15.14
2019,ML,Bayern,71,11.81
2019,ML,Berlin,49,8.15
2019,ML,Bremen,1,0.17
2019,ML,Hamburg,29,4.83
2019,ML,Hessen,52,8.65
2019,ML,Niedersachsen,12,2.0
2019,ML,Nordrhein-Westfalen,263,43.76
2019,ML,Rheinland-Pfalz,5,0.83
2019,ML,Saarland,3,0.5
2019,ML,Sachsen,16,2.66
2019,ML,Sachsen-Anhalt,1,0.17
2019,ML,Schleswig-Holstein,6,1.0
2019,ML,Thüringen,2,0.33
2025,AI,Baden-Württemberg,128,17.32
2025,AI,Bayern,154,20.84
2025,AI,Berlin,139,18.81
2025,AI,Brandenburg,5,0.68
2025,AI,Bremen,11,1.49
2025,AI,Hamburg,22,2.98
2025,AI,Hessen,55,7.44
2025,AI,Mecklenburg-Vorpommern,3,0.41
2025,AI,Niedersachsen,13,1.76
2025,AI,Nordrhein-Westfalen,158,21.38
2025,AI,Rheinland-Pfalz,9,1.22
2025,AI,Saarland,4,0.54
2025,AI,Sachsen,16,2.17
2025,AI,Sachsen-Anhalt,5,0.68
2025,AI,Schleswig-Holstein,9,1.22
2025,AI,Thüringen,8,1.08
2025,ML,Baden-Württemberg,134,17.89
2025,ML,Bayern,153,20.43
2025,ML,Berlin,140,18.69
2025,ML,Brandenburg,5,0.67
2025,ML,Bremen,12,1.6
2025,ML,Hamburg,22,2.94
2025,ML,Hessen,55,7.34
2025,ML,Mecklenburg-Vorpommern,3,0.4
2025,ML,Niedersachsen,13,1.74
2025,ML,Nordrhein-Westfalen,161,21.5
2025,ML,Rheinland-Pfalz,9,1.2
2025,ML,Saarland,4,0.53
2025,ML,Sachsen,16,2.14
2025,ML,Sachsen-Anhalt,5,0.67
2025,ML,Schleswig-Holstein,9,1.2
2025,ML,Thüringen,8,1.07
