year,domain,category,skill,count,percentage
2019,AI,Analytical,analytisch,3,0.04
2019,AI,Analytical,business analytics,4,0.05
2019,AI,Analytical,data analytics,22,0.29
2019,AI,Analytical,datenanalyse,263,3.48
2019,AI,Analytical,google analytics,6,0.08
2019,AI,BigData,big data,250,3.3
2019,AI,BigData,hadoop,222,2.93
2019,AI,BigData,nosql,46,0.61
2019,AI,BigData,spark,228,3.01
2019,AI,Communication_Generic,verantwortlich,114,1.51
2019,AI,Communication_Presentation,präsentation,45,0.59
2019,AI,Communication_Presentation,reporting,5,0.07
2019,AI,DataMining,anomalieerkennung,1,0.01
2019,AI,DataMining,anomaly detection,1,0.01
2019,AI,DataMining,datenanalyse,263,3.48
2019,AI,DataMining,forecasting,1,0.01
2019,AI,DataMining,machine learning,467,6.17
2019,AI,DataMining,maschinelles lernen,33,0.44
2019,AI,DataMining,prognose,53,0.7
2019,AI,DataMining,text mining,4,0.05
2019,AI,DataMining,vorhersage,32,0.42
2019,AI,DecisionMaking,analyse,378,5.0
2019,AI,DecisionMaking,analysis,3,0.04
2019,AI,DecisionMaking,analytisch,3,0.04
2019,AI,DecisionMaking,design,34,0.45
2019,AI,DecisionMaking,implementierung,450,5.95
2019,AI,DecisionMaking,modellierung,19,0.25
2019,AI,DecisionMaking,problemlösung,7,0.09
2019,AI,DecisionMaking,reporting,5,0.07
2019,AI,DecisionMaking,testen,9,0.12
2019,AI,DecisionMaking,testing,1,0.01
2019,AI,Employee_Adaptability,flexible,2,0.03
2019,AI,Employee_DetailOriented,genauigkeit,7,0.09
2019,AI,Employee_Independence,autonomous,1,0.01
2019,AI,Employee_Independence,selbstständig,2,0.03
2019,AI,Employee_Motivation,ergebnisorientiert,2,0.03
2019,AI,Employee_Motivation,kontinuierliches lernen,2,0.03
2019,AI,Employee_Motivation,lernbereitschaft,1,0.01
2019,AI,Employee_Other,zuverlässig,1,0.01
2019,AI,ForeignLanguage,deutsch,29,0.38
2019,AI,ForeignLanguage,englisch,11,0.15
2019,AI,ForeignLanguage,französisch,1,0.01
2019,AI,ForeignLanguage,spanisch,2,0.03
2019,AI,Interpersonal,networking,1,0.01
2019,AI,Interpersonal,teamführung,2,0.03
2019,AI,Interpersonal,zusammenarbeit,405,5.35
2019,AI,MSOffice,communication,1,0.01
2019,AI,MSOffice,dokumentation,20,0.26
2019,AI,MSOffice,excel,4,0.05
2019,AI,MSOffice,kommunikation,30,0.4
2019,AI,MSOffice,ms office,8,0.11
2019,AI,MSOffice,office suite,4,0.05
2019,AI,Numeracy,mathematik,332,4.39
2019,AI,Numeracy,rechnungswesen,1,0.01
2019,AI,Occupational_EnterpriseSystem,crm,3,0.04
2019,AI,Occupational_EnterpriseSystem,erp,1,0.01
2019,AI,Occupational_EnterpriseSystem,integration,498,6.58
2019,AI,Occupational_EnterpriseSystem,oracle,2,0.03
2019,AI,Occupational_EnterpriseSystem,sap,15,0.2
2019,AI,Occupational_EnterpriseSystem,sap system,1,0.01
2019,AI,Occupational_Hardware,architektur,8,0.11
2019,AI,Occupational_Hardware,desktop,1,0.01
2019,AI,Occupational_Hardware,geräte,2,0.03
2019,AI,Occupational_Hardware,hardware,4,0.05
2019,AI,Occupational_Hardware,server,6,0.08
2019,AI,Occupational_Hardware,systemarchitektur,1,0.01
2019,AI,Occupational_Networks,cloud computing,10,0.13
2019,AI,Occupational_Networks,internet,3,0.04
2019,AI,Occupational_Networks,networking,1,0.01
2019,AI,Occupational_Networks,netzwerk,1,0.01
2019,AI,Occupational_Networks,netzwerke,1,0.01
2019,AI,Occupational_Networks,netzwerksicherheit,4,0.05
2019,AI,Occupational_Programming,java,20,0.26
2019,AI,Occupational_Programming,javascript,2,0.03
2019,AI,Occupational_Programming,programmierung,30,0.4
2019,AI,Occupational_Programming,python,1012,13.37
2019,AI,Occupational_Programming,vb,1,0.01
2019,AI,Occupational_Programming,vba,1,0.01
2019,AI,Occupational_ProjectManagement,change management,1,0.01
2019,AI,Occupational_ProjectManagement,pmp,1,0.01
2019,AI,Occupational_ProjectManagement,projektmanagement,12,0.16
2019,AI,Occupational_ProjectManagement,änderungsmanagement,1,0.01
2019,AI,Occupational_Scraping,datenextraktion,11,0.15
2019,AI,Occupational_Visualization,berichte,4,0.05
2019,AI,Occupational_Visualization,datenvisualisierung,17,0.22
2019,AI,Occupational_Visualization,tableau,76,1.0
2019,AI,ProblemSolving,problemlösung,7,0.09
2019,AI,ProcessDesign,kontinuierliche verbesserung,3,0.04
2019,AI,ProcessDesign,prozessverbesserung,1,0.01
2019,AI,Research,datenanalyse,263,3.48
2019,AI,Research,datenerhebung,1,0.01
2019,AI,Research,recherche,3,0.04
2019,AI,Statistics,datenanalyse,263,3.48
2019,AI,Statistics,excel,4,0.05
2019,AI,Statistics,matlab,2,0.03
2019,AI,Statistics,pandas,266,3.52
2019,AI,Statistics,python pandas,95,1.26
2019,AI,Statistics,splunk,1,0.01
2019,AI,Statistics,statistik,176,2.33
2019,AI,StructuredData,data management,4,0.05
2019,AI,StructuredData,data warehouse,34,0.45
2019,AI,StructuredData,datenmanagement,1,0.01
2019,AI,StructuredData,db2,1,0.01
2019,AI,StructuredData,mysql,2,0.03
2019,AI,StructuredData,oracle,2,0.03
2019,AI,StructuredData,sql,844,11.15
2019,AI,StructuredData,sql server,2,0.03
2019,ML,Analytical,analytisch,1,0.12
2019,ML,Analytical,business analytics,1,0.12
2019,ML,Analytical,data analytics,13,1.56
2019,ML,Analytical,datenanalyse,36,4.32
2019,ML,BigData,big data,24,2.88
2019,ML,BigData,hadoop,10,1.2
2019,ML,BigData,nosql,8,0.96
2019,ML,BigData,spark,16,1.92
2019,ML,Communication_Generic,verantwortlich,27,3.24
2019,ML,Communication_Presentation,präsentation,2,0.24
2019,ML,Communication_Presentation,reporting,6,0.72
2019,ML,DataMining,datenanalyse,36,4.32
2019,ML,DataMining,entscheidungsbäume,2,0.24
2019,ML,DataMining,forecasting,2,0.24
2019,ML,DataMining,machine learning,26,3.12
2019,ML,DataMining,maschinelles lernen,1,0.12
2019,ML,DataMining,prognose,5,0.6
2019,ML,DataMining,vorhersage,3,0.36
2019,ML,DecisionMaking,analyse,47,5.64
2019,ML,DecisionMaking,analysis,2,0.24
2019,ML,DecisionMaking,analytisch,1,0.12
2019,ML,DecisionMaking,design,8,0.96
2019,ML,DecisionMaking,implementierung,45,5.4
2019,ML,DecisionMaking,modeling,1,0.12
2019,ML,DecisionMaking,modellierung,6,0.72
2019,ML,DecisionMaking,reporting,6,0.72
2019,ML,Employee_Adaptability,flexibel,1,0.12
2019,ML,Employee_DetailOriented,genauigkeit,1,0.12
2019,ML,Employee_Independence,selbstständig,1,0.12
2019,ML,Employee_Motivation,lernbereitschaft,1,0.12
2019,ML,ForeignLanguage,deutsch,10,1.2
2019,ML,ForeignLanguage,englisch,4,0.48
2019,ML,ForeignLanguage,französisch,1,0.12
2019,ML,Interpersonal,kooperation,1,0.12
2019,ML,Interpersonal,zusammenarbeit,37,4.44
2019,ML,MSOffice,communication,1,0.12
2019,ML,MSOffice,dokumentation,2,0.24
2019,ML,MSOffice,excel,1,0.12
2019,ML,MSOffice,kommunikation,3,0.36
2019,ML,MSOffice,microsoft office,1,0.12
2019,ML,MSOffice,ms office,2,0.24
2019,ML,MSOffice,office suite,1,0.12
2019,ML,Numeracy,mathematik,23,2.76
2019,ML,Occupational_EnterpriseSystem,crm,2,0.24
2019,ML,Occupational_EnterpriseSystem,integration,26,3.12
2019,ML,Occupational_EnterpriseSystem,oracle,2,0.24
2019,ML,Occupational_EnterpriseSystem,sap,7,0.84
2019,ML,Occupational_Hardware,architektur,4,0.48
2019,ML,Occupational_Hardware,hardware,2,0.24
2019,ML,Occupational_Hardware,systemarchitektur,1,0.12
2019,ML,Occupational_Modeling,neuronale netze,2,0.24
2019,ML,Occupational_Networks,cloud computing,2,0.24
2019,ML,Occupational_Programming,java,10,1.2
2019,ML,Occupational_Programming,javascript,2,0.24
2019,ML,Occupational_Programming,jboss,1,0.12
2019,ML,Occupational_Programming,programmierung,3,0.36
2019,ML,Occupational_Programming,python,94,11.27
2019,ML,Occupational_ProjectManagement,project management,1,0.12
2019,ML,Occupational_ProjectManagement,projektmanagement,6,0.72
2019,ML,Occupational_Visualization,berichte,2,0.24
2019,ML,Occupational_Visualization,lumira,2,0.24
2019,ML,Occupational_Visualization,tableau,12,1.44
2019,ML,Research,datenanalyse,36,4.32
2019,ML,Statistics,datenanalyse,36,4.32
2019,ML,Statistics,excel,1,0.12
2019,ML,Statistics,pandas,13,1.56
2019,ML,Statistics,python pandas,2,0.24
2019,ML,Statistics,sas,2,0.24
2019,ML,Statistics,splunk,3,0.36
2019,ML,Statistics,spss,1,0.12
2019,ML,Statistics,statistik,15,1.8
2019,ML,StructuredData,data management,2,0.24
2019,ML,StructuredData,data warehouse,18,2.16
2019,ML,StructuredData,datenmanagement,3,0.36
2019,ML,StructuredData,db2,1,0.12
2019,ML,StructuredData,mysql,2,0.24
2019,ML,StructuredData,oracle,2,0.24
2019,ML,StructuredData,sql,90,10.79
2025,AI,Analytical,analytisch,10,0.11
2025,AI,Analytical,arcgis,2,0.02
2025,AI,Analytical,business analytics,1,0.01
2025,AI,Analytical,data analytics,88,0.94
2025,AI,Analytical,datenanalyse,51,0.54
2025,AI,Analytical,gis,10,0.11
2025,AI,Analytical,google analytics,2,0.02
2025,AI,Analytical,insight,31,0.33
2025,AI,BigData,big data,164,1.75
2025,AI,BigData,datenplattform,2,0.02
2025,AI,BigData,datenströme,2,0.02
2025,AI,BigData,hadoop,20,0.21
2025,AI,BigData,hive,7,0.07
2025,AI,BigData,nosql,44,0.47
2025,AI,BigData,oozie,1,0.01
