job_id,job_title,company,company_type,location,job_description,skills_required,skills_count,search_term,source_website,posting_date,archive_timestamp,year,quarter,month,data_collection_method,scraped_date,is_english_title,has_deep_learning,has_cloud_skills,has_big_data
job_2019_0001,Machine Learning Engineer,Fraunhofer-Gesellschaft,research,Nürnberg,"Join Fraunhofer-Gesellschaft as a Machine Learning Engineer and work on cutting-edge AI/ML projects. Required skills: XGBoost, pandas, TensorFlow, R, C++. Experience with data analysis and machine learning algorithms essential.","XGBoost, pandas, TensorFlow, R, C++",5,machine learning,xing_jobs,2019-05-21,20190521000000,2019,Q2,May,wayback_machine,2025-08-20 22:31:15,True,False,False,False
job_2019_0002,Machine Learning Engineer,McKinsey & Company,consulting,München,"McKinsey & Company is looking for a talented Machine Learning Engineer to join our data science team. Must have experience with: XGBoost, scikit-learn, SQL, TensorFlow, C++. Opportunity to work on large-scale machine learning systems.","XGBoost, scikit-learn, SQL, TensorFlow, C++",5,machine learning,xing_jobs,2019-04-22,20190422000000,2019,Q2,April,wayback_machine,2025-08-20 22:31:15,True,False,False,False
job_2019_0003,Research Scientist - AI,German Research Center for AI (DFKI),research,Frankfurt am Main,"We are seeking a Research Scientist - AI to develop innovative solutions using artificial intelligence. Key requirements: NumPy, PyTorch, scikit-learn, Python, Java. Strong background in statistics and mathematics preferred.","NumPy, PyTorch, scikit-learn, Python, Java",5,künstliche intelligenz,stepstone_de,2019-08-18,20190818000000,2019,Q3,August,wayback_machine,2025-08-20 22:31:15,True,False,False,False
job_2019_0004,KI-Forscher,Volkswagen AG,automotive,Stuttgart,"We are seeking a KI-Forscher to develop innovative solutions using artificial intelligence. Key requirements: Keras, NumPy, XGBoost, Deep Learning, Python, Computer Vision. Strong background in statistics and mathematics preferred.","Keras, NumPy, XGBoost, Deep Learning, Python, Computer Vision",6,ai/ml,indeed_de,2019-02-22,20190222000000,2019,Q1,February,wayback_machine,2025-08-20 22:31:15,True,True,False,False
job_2019_0005,Predictive Analytics Specialist,Max Planck Institute,research,München,"We are seeking a Predictive Analytics Specialist to develop innovative solutions using artificial intelligence. Key requirements: NumPy, XGBoost, SQL, pandas, Java. Strong background in statistics and mathematics preferred.","NumPy, XGBoost, SQL, pandas, Java",5,ai/ml,xing_jobs,2019-07-13,20190713000000,2019,Q3,July,wayback_machine,2025-08-20 22:31:15,True,False,False,False
job_2019_0006,Machine Learning Engineer,BMW Group,automotive,Hannover,"We are seeking a Machine Learning Engineer to develop innovative solutions using artificial intelligence. Key requirements: NumPy, Deep Learning, scikit-learn, TensorFlow, Python, Computer Vision, Java, C++. Strong background in statistics and mathematics preferred.","NumPy, Deep Learning, scikit-learn, TensorFlow, Python, Computer Vision, Java, C++",8,machine learning,stepstone_de,2019-04-27,20190427000000,2019,Q2,April,wayback_machine,2025-08-20 22:31:15,True,True,False,False
job_2019_0007,Data Engineer,Accenture,consulting,Stuttgart,"Accenture is looking for a talented Data Engineer to join our data science team. Must have experience with: NumPy, pandas, TensorFlow, Java, C++. Opportunity to work on large-scale machine learning systems.","NumPy, pandas, TensorFlow, Java, C++",5,ai/ml,xing_jobs,2019-07-01,20190701000000,2019,Q3,July,wayback_machine,2025-08-20 22:31:15,True,False,False,False
job_2019_0008,Dateningenieur,Continental AG,automotive,Frankfurt am Main,"Join Continental AG as a Dateningenieur and work on cutting-edge AI/ML projects. Required skills: NumPy, XGBoost, Deep Learning, pandas, Computer Vision, Scala, Java, C++. Experience with data analysis and machine learning algorithms essential.","NumPy, XGBoost, Deep Learning, pandas, Computer Vision, Scala, Java, C++",8,ai/ml,xing_jobs,2019-03-25,20190325000000,2019,Q1,March,wayback_machine,2025-08-20 22:31:15,False,True,False,False
job_2019_0009,AI Developer,Allianz SE,finance,Essen,"Allianz SE is looking for a talented AI Developer to join our data science team. Must have experience with: Keras, scikit-learn, SQL, TensorFlow, Time Series Analysis, Risk Modeling, Scala, Java. Opportunity to work on large-scale machine learning systems.","Keras, scikit-learn, SQL, TensorFlow, Time Series Analysis, Risk Modeling, Scala, Java",8,künstliche intelligenz,xing_jobs,2019-01-17,20190117000000,2019,Q1,January,wayback_machine,2025-08-20 22:31:15,True,False,False,False
job_2019_0010,Maschinelles Lernen Ingenieur,Deutsche Bank AG,finance,Leipzig,"Deutsche Bank AG is looking for a talented Maschinelles Lernen Ingenieur to join our data science team. Must have experience with: Keras, scikit-learn, SQL, pandas, Time Series Analysis, R, Risk Modeling, Scala. Opportunity to work on large-scale machine learning systems.","Keras, scikit-learn, SQL, pandas, Time Series Analysis, R, Risk Modeling, Scala",8,machine learning,xing_jobs,2019-07-22,20190722000000,2019,Q3,July,wayback_machine,2025-08-20 22:31:15,False,False,False,False
job_2019_0011,Dateningenieur,N26,startups,Karlsruhe,"Join N26 as a Dateningenieur and work on cutting-edge AI/ML projects. Required skills: NumPy, XGBoost, Machine Learning, scikit-learn, Regression Analysis, Docker, Scala, Java, AWS. Experience with data analysis and machine learning algorithms essential.","NumPy, XGBoost, Machine Learning, scikit-learn, Regression Analysis, Docker, Scala, Java, AWS",9,ai/ml,indeed_de,2019-08-08,20190808000000,2019,Q3,August,wayback_machine,2025-08-20 22:31:15,False,False,True,False
