"companyName","description","id","location","postedTime","publishedAt","salary","sector","title"
"Ailoys","About Us

At Ailoys GmbH, we are transforming the manufacturing landscape by integrating advanced technologies like IoT, sensor systems, AI and machine learning. Our mission is to empower manufacturing facilities with smarter processes, improved quality, and enhanced efficiency.

We are looking for a Machine Learning (ML) Engineer who will focus on researching appropriate models for automation manufacturing processes.

In this role, you will:


 * Design and develop evaluation benchmark.
 * Deploy end-to-end evaluation pipelines for in-house and external ML models.
 * Be responsible for model selection and comparison with state-of-the-art methods.
 * Analyze evaluation results and propose improvements to data and models.
   
   

Required Skills And Experience


 * Expertise in the evaluation of generative AI methods.
 * A good understanding of statistics and data analysis.
 * Data annotation management.
 * Practical Python language skills.
 * Familiarity with frameworks such as NumPy, SciPy, pandas, and Hugging Face Evaluate.
 * A minimum of 2-3 years of relevant work experience is required.
   
   

Nice to have:


 * ML frameworks, such as PyTorch, spaCy, and Transformers.
 * CI, workflow automation, and experiment tracking systems.
 * Familiarity with the AWS Bedrock
   
   

Why Join Us?


 * A competitive salary that recognizes your skills and contributions.
 * Work on cutting-edge technologies in industrial AI, IoT and manufacturing automation.
 * Be part of a fast-growing, innovative team with opportunities for professional growth.
 * Contribute to impactful projects with leading global manufacturing companies.
   
   

If you are passionate about driving innovation in manufacturing and have the technical expertise to match, we’d love to hear from you!

How To Apply

Please send your resume and a brief cover letter by pressing ""Apply for this job"" detailing your relevant experience, as well as your salary expectations.

Let’s build the future of manufacturing together!","4130085323","Berlin, Berlin, Germany","5 months ago","2025-01-20","","IT System Data Services","ML Engineer"
"Avo Intelligence","About Avo Intelligence


Avo Intelligence operates at the forefront of machine learning innovation, delivering transformative solutions that empower businesses to unlock the potential of their data. Based in Singapore, we specialize in providing world-class machine learning expertise that drives impactful results across industries such as finance, healthcare, logistics, and smart urban planning. With a network of highly skilled professionals experienced in raw machine learning applications, we are dedicated to fostering innovation and delivering meaningful outcomes for our clients.


About the Role


We are looking for passionate machine learning professionals to collaborate with our clients on revolutionary projects across a range of industries. This is an exciting opportunity to contribute to cutting-edge research and development in fields such as computer vision, natural language processing (NLP), and machine learning, while working closely with cross-functional teams to bring impactful solutions to life.


Tasks

   
   
 * Conduct advanced research and development in areas such as computer vision, natural language processing, generative AI, and machine learning.
   
   
 * Collaborate with partners and engineers to develop or optimize models and algorithms, ensuring seamless transfer of innovations into practical applications.
   
   
 * Publish high-quality research in top-tier conferences and journals, showcasing groundbreaking work.
   
   


Requirements

   
   
 * Ph.D. or equivalent expertise in computer science, electrical engineering, or related fields, with a focus on areas like generative AI, computer vision, NLP, or machine learning.
   
   
 * Hands-on experience in developing algorithms and models using deep learning frameworks (e.g., TensorFlow, PyTorch) and programming languages such as Python or C/C++.
   
   
 * Excellent communication skills, both written and verbal, with the ability to present complex ideas effectively.
   
   


Benefits

   
   
 * Work with some of the brightest minds in the machine learning field, tackling industry-specific challenges and pushing the boundaries of innovation.
   
   
 * Collaborate on diverse projects that span industries and make a tangible impact.
   
   
 * Be part of a global network of ML experts who are passionate about solving real-world problems through raw machine learning applications.","4259324899","Berlin, Berlin, Germany","1 day ago","2025-07-05","","Research Services","Deep Learning Researcher"
"KNSK","Jobteaser


Für alle, die Künstliche Intelligenz nicht nur verstehen – sondern gestalten.


Als AI Specialist (m/w/d) weißt du, was generative KI kann und was sie zukünftig noch können muss. Du denkst in Prompts, Pipelines und Potenzialen. Für dich ist künstliche Intelligenz nicht nur ein Tool, sondern ein Motor für kreative Prozesse, datenbasierte Kampagnen und effiziente Workflows.


Bring deine Expertise zu uns und entwickle mit uns das, was Agenturarbeit morgen ausmacht.


Damit bringst du uns weiter

   
   
 * Du entwickelst und optimierst KI-Lösungen für die tägliche Arbeit unserer Teams
   
   
 * Du zeigst, wie man KI zielgerichtet im kreativen Prozess einsetzen kann und entwickelst dafür passende Workflows und Anwendungen auf Basis geeigneter Tools und Modelle
   
   
 * Du findest Hebel für Automatisierung, datengestützte Effizienzsteigerung oder Content-Erstellung
   
   
 * Du bist interne*r Impulsgeber*in für KI-Know-how und bringst andere Teams auf den aktuellen Stand
   
   
 * Du erkennst, was relevant wird – und machst aus Buzzwords Anwendungen
   
   


Das wünschen wir uns von dir

   
   
 * Du kennst Tools wie ChatGPT, Midjourney oder Comfy UI nicht nur aus dem Feed, sondern aus dem Alltag. Und du weißt, wie man sie sinnvoll trainiert, anpasst sowie integriert
   
   
 * Auch Veo, Runway, Kling, Elevenlabs und open source Modelle wie Stable Diffusion, Mistral, LLaMA oder SDXL sind dir nicht fremd
   
   
 * Du sprichst die Sprachen von Kreation, Media und Tech und entwickelst Lösungen für die teamübergreifende Zusammenarbeit
   
   
 * APIs, Automatisierung, Integrationen: Du hast ein gutes Gespür für das Zusammenspiel von Systemen
   
   
 * Du bist stets über die neuesten KI-Trends sowie Tools informiert
   
   
 * Du hast grundlegende Programmierkenntnisse und sprichst fließend Deutsch
   Die beschriebenen Punkte entsprechen unserer Wunschvorstellung. Du kannst noch nicht alle Checkboxen abhaken, aber denkst, du könntest dich in der Position wohlfühlen? Dann freuen wir uns auf deine Bewerbung.
   
   


Darauf kannst du dich freuen

   
   
 * Eine unabhängige, inhabergeführte Kreativagentur mit schnellen Entscheidungswegen
   
   
 * Ein kreatives Arbeitsumfeld mit viel Gestaltungsspielraum und kooperativem Austausch in einer lebendigen Agenturfamilie
   
   
 * Eine ausgewogene Work-Life-Balance und einen top ausgestatteten, attraktiven Arbeitsplatz in der Neustadt
   
   
 * Ein attraktives Mobile Office-Modell, der Mix macht's
   
   
 * Einen festen Onboarding Prozess und eine offene Unternehmenskultur durch die du schnell Teil der KNSK Agenturfamilie wirst
   
   
 * Verantwortung, Unterstützung und jede Menge Neues für deine persönliche Weiterentwicklung
   
   
 * Monatliches Goodie-Budget in Höhe von 50 Euro netto (Deutschlandticket, Urban Sports oder Einkaufsguthaben)
   
   
 * Verschiedenste Mental-Health-Formate für dein seelisches Wohlbefinden
   
   
 * Vegetarisches Catering, fair gehandelter Tee und Kaffee, Montagsfrühstück, Freitagslunch
   
   
 * Mitarbeitendenrabatte bei unseren Partner*innen
   
   


Vielfalt bringt neue Ideen und Impulse! Wir freuen uns schon auf deine Bewerbung - unabhängig von Geschlecht, Nationalität, ethnischer und sozialer Herkunft, Religion/Weltanschauung, Behinderung, Alter sowie sexueller Orientierung und Identität.","4256664464","Hamburg, Hamburg, Germany","6 days ago","2025-07-01","","Advertising Services","AI Specialist (m/w/d)"
"Plain","Plain is redefining customer support for the next generation of B2B companies. We’re building the fastest, most powerful platform to help companies move beyond reactive support and build true customer relationships.

B2B customer support is undergoing a seismic shift. AI is transforming the way companies engage with customers, shifting support from a siloed function to a company-wide effort across Slack, Discord, and in-product experiences. The old way – slow, manual, and disconnected – no longer works.

Some of the world’s most forward-thinking companies – like Stytch, Sanity, and Fly.io – trust Plain to unify all customer interactions, enable faster team collaboration, and supercharge their workflows with AI.

What you’ll do

We’re in a rare position. We’ve already built a deeply scalable, lightning-fast support platform that high-growth companies love. AI has been at the core of our product for a while now – but now, we want to take it to the next level. We have the opportunity to define how AI powers customer support at every level, from automating workflows to deeply understanding customer needs.

This is where you come in.

We’re looking for a sharp, fast-moving, and customer-obsessed Founding AI Engineer to accelerate our AI ambitions. This is a rare chance to shape the AI strategy of an early-stage, high-impact product and help build a category-defining company.

Engineering at Plain isn’t about just moving tickets. It’s about solving complex, high-impact problems – owning them end-to-end, from prototype to production.

In this role, you will:


 * Define our AI infrastructure and play a key role in shaping our AI strategy.
 * Own and ship AI-powered features from concept to production.
 * Solve complex machine learning challenges – especially around AI accuracy, reliability, and quality – using a rigorous, truth-seeking approach.
 * Serve as the team’s AI expert, helping to build a world-class AI practice.
 * Advocate for our work externally – writing, speaking, and engaging with the broader AI community.
   
   

This is a great fit if you…


 * Are an experienced backend engineer who’s built AI products in the OpenAI & Anthropic era – especially text- and data-heavy AI applications.
 * Have AI observability experience. AI isn’t just about shipping features that sound great – it’s about knowing, conclusively, if they’re making things better.
 * Have a clear perspective on what makes a great AI-powered product. We want to apply AI with precision, nuance, and real impact – not as a gimmick.
 * Are self-driven, impact-focused, and thrive in a fast-moving, high-ownership environment.
 * Measure your success by user impact, not just technical elegance.
 * Bonus: You have a data science background that helps you fine-tune AI accuracy and quality.
   
   

This won’t be the right role if you…


 * Have only academic or research ML/AI experience. We need someone who’s applied AI to real products, not just explored theoretical models.
 * Think AI for support is just chatbots. B2B support is complex – we’re AI-powering the entire platform, not just automating conversations.
 * Struggle with ambiguity. We’re an early-stage startup. Things change quickly, and often, knowing what to work on is as important as the work itself.
 * Prioritize working with the latest tech for its own sake. We choose tools that make us productive – not what’s trendy. (Postgres is great.)
 * Are looking for a management role. This is a hands-on individual contributor position.
 * Expect all the perks of a big company. We’re a Series A startup and are competitive in what we offer at our stage, but it’s a different role and opportunity than working at an established tech company.
   
   

Note: We are an equal-opportunity employer and remote-only company. At this time, we can only support hiring within Europe for this role.

Compensation Range: £75K - £130K

","4172664271","Germany","4 months ago","2025-03-04","£75,000.00/yr - £130,000.00/yr","Software Development","Founding AI Engineer"
"elunic AG","Die Zukunft ist KI-getrieben – und du kannst sie mitgestalten 🚀

Du stehst kurz vor dem Studienabschluss und fragst dich, wie es weitergeht? Du findest verschiedene Bereiche spannend und kannst dich noch nicht festlegen? Perfekt!

Wir sind elunic – ein innovatives AI-Unternehmen aus München, das mit AI.SEE™ und ShopfloorGPT die Industrie 4.0 revolutioniert. Mit AI.SEE™ machen wir visuelle Qualitätskontrolle in der Produktion intelligent, zuverlässig und effizient.

Dein Einstieg: Du startest bei uns als Vollzeit-Trainee mit echter Verantwortung. In 12 Monaten durchläufst du alle Bereiche von AI.SEE und spezialisierst dich in einem deiner drei Wunschbereiche.🌟 Mit deinem frischen Blick, innovativen Ideen und Lernhunger übernimmst du echte Projekte, arbeitest direkt mit Kunden und gestaltest die Zukunft der KI-gestützten Produktion mit.🚀

München, Deutschland mit flexiblen Homeoffice Möglichkeiten | Start: September oder Oktober 2025

Das lernst du bei uns

🤝 Sales & Customer Success

Kompletten Kundenlebenszyklus erleben – von Video-Calls mit Kunden über neue Kontakte entwickeln bis hin zu Verhandlungen mit direktem Kundenkontakt. Plus: Du arbeitest täglich mit modernsten KI-Tools und zeigst Kunden, wie AI ihre Produktion revolutioniert!

🔧 Tech & AI Solutions

Du tauchst ein in die Welt der KI-Bildverarbeitung. Lernst, wie unsere Kameras und AI.SEE™ funktionieren, hilfst bei der Entwicklung von Lösungen für Kunden und verstehst, wie aus einer Kundenherausforderung eine technische Lösung wird.

📊 Business Operations & Projektmanagement

Echte Projekte von A bis Z steuern – von der Kundenanfrage bis zum Rollout, inklusive Workshops und Business Cases. Mit KI-Tools optimierst du Prozesse und Projektabläufe!

📈 Marketing & Revenue Operations

Customer Journey optimieren, Prozesse verbessern und als Bindeglied zwischen Marketing, Sales und Projektmanagement agieren. KI-gestützte Datenanalyse und Reporting inklusive!

Was du beim Start mitbringst


 * Du hast ein abgeschlossenes Studium in BWL, Management & Technology, Robotics, Wirtschaftsinformatik, Maschinenbau oder einem vergleichbaren Studiengang
 * Du bist stark in der Kommunikation und besitzt ein technisches Grundverständnis – essentiell für alle Bereiche
 * Du interessierst dich für KI und bist neugierig darauf, wie moderne Technologie in der Praxis funktioniert
 * Du gehst strukturiert an neue Themen heran und probierst gerne Dinge aus – auch wenn nicht alles sofort perfekt läuft
 * Du hast Lust auf echte Verantwortung, eigene Projekte und möchtest sichtbar zum Erfolg beitragen – statt nur mitzulaufen
 * Teamgeist und Kundenorientierung zeichnen dich aus
 * Du lernst gerne Dinge dazu und bist dabei immer offen für Feedback – denn nur so kannst du wachsen
 * Du bringst Eigeninitiative mit und kannst dich gut selbst organisieren – gleichzeitig helfen wir dir, wenn du mal nicht weiterkommst
 * Ein Plus, aber kein Muss: Du hast schon ein wenig Erfahrung in den Bereichen
   
   

Du erkennst dich nicht in jedem Punkt wieder? Kein Problem – wir möchten dich trotzdem kennenlernen!

Das bieten wir

🚀 Deine sichere Zukunft


 * Übernahmegarantie bei erfolgreicher Teilnahme
 * Unbefristetes Arbeitsverhältnis nach dem Traineeship
 * Persönliches Mentoring mit festen Ansprechpartnern
   
   

📚 Deine Entwicklung


 * Kostenloser Premium-Zugang zu allen KI-Tools, die du brauchst
 * Weiterbildungen/Zertifizierungen im KI- und Tech-Bereich
   
   

🏠 Work-Life-Balance


 * Möglichkeit für HomeOffice & Flexible Arbeitszeiten
 * 1:1 Überstundenvergütung bzw. Ausgleich
 * 30 Tage Urlaub
   
   

🎉 Team & Extras


 * Ein starkes, innovatives Team
 * Frei wählbares technisches Set-Up
 * Super tolle Teamevents!
 * Workation ☀️
   
   

So geht's weiter


 * Zeig uns, wer du bist! Gerne auch als kurzes Video – wir sind gespannt auf deine Persönlichkeit!
 * Let's talk! Entspanntes Kennenlernen & ein spannender Case, der Spaß macht.
 * Perfect Match! Gemeinsam finden wir deinen idealen Schwerpunkt basierend auf deinen Wünschen und unseren aktuellen Projekten.
 * Welcome to the team! Ab September oder Oktober startest du voll durch – mit echten Projekten, coolen Kollegen und jeder Menge Verantwortung.
   
   

Die Zukunft wartet nicht – gestalte sie mit! 🚀","4260698913","Munich, Bavaria, Germany","3 days ago","2025-07-04","","IT Services and IT Consulting","AI Traineeship"
"Pirelli","WHY JOIN US

 * Abwechslungsreiche und vielseitige Aufgaben in einem engagierten und motivierten Team mit zahlreichen Entwicklungsmöglichkeiten
 * Zur Förderung der Work-Life-Balance bieten wir flexible Arbeitszeiten sowie individuelle Smart Working Möglichkeiten an.
 * Vereinbarkeit und Förderung von Familie und Beruf
 * Faire Bezahlung, inklusive einigen Zusatzleistungen wie zum Beispiel 30 Tage Urlaub, Urlaubsgeld und Belegschaftsverkauf.
 * Umfassende Sozialleistungen wie z.B. Betriebliche Altersvorsorge, Sport- und Freizeitmöglichkeiten und ein eigenes Fitnessangebot
 * Kantine auf dem Werksgelände mit gesunder und vielfältiger Küche
 * Verhaltensrichtlinien zur Vermeidung von Korruption und Diskriminierung




DRIVE YOUR FUTURE

Sie werden das Team AI & Datamanagement am Standort Breuberg verstärken.




IHRE KERNTÄTIGKEITEN

 * Überwachung von ML-Prozessen und deren Auswirkungen auf die Fabrik
 * Kontinuierliche Anpassung und Feinabstimmung der Modelle
 * Datenexploration, Überwachung und Verbesserung der Datenqualität
 * Förderung der Kommunikation zwischen dem HQ-Team und dem lokalen Team




WAS SIE IN DIE POLE POSITION BRINGT

 * Master-Abschluss in Informatik, Physik, Mathematik, Ingenieurwesen, Statistik oder anderen daten- oder programmierbezogenen Fächern. Ein PhD ist von Vorteil.
 * Mindestens 4 Jahre Erfahrung in der Programmierung mit Python oder vergleichbaren Sprachen.
 * Gute Kenntnisse von ML-Modellen
 * Erfahrung in Bereitstellung und Lebenszyklus-Management von ML-Modellen (MLOps)
 * Fortgeschrittene Kenntnisse in Python, TDD (Test Driven Development) und objektorientierter Programmierung (OOP)
 * Erfahrung in Datenvisualisierung von Vorteil
 * Fortgeschrittene SQL-Kenntnisse
 * Erfahrung im Umgang mit GIT wünschenswert
 * sehr gute Englischkenntnisse




APPLY NOW, DRIVE YOUR FUTURE!

#WePirelli","4258194128","Breuberg, Hesse, Germany","3 days ago","2025-07-04","","Motor Vehicle Manufacturing","Machine Learning Engineer"
"Mistral AI","About Mistral

At Mistral AI, we believe in the power of AI to simplify tasks, save time, and enhance learning and creativity. Our technology is designed to integrate seamlessly into daily working life.

We democratize AI through high-performance, optimized, open-source and cutting-edge models, products and solutions. Our comprehensive AI platform is designed to meet enterprise needs, whether on-premises or in cloud environments. Our offerings include le Chat, the AI assistant for life and work.

We are a dynamic, collaborative team passionate about AI and its potential to transform society.

Our diverse workforce thrives in competitive environments and is committed to driving innovation. Our teams are distributed between France, USA, UK, Germany and Singapore. We are creative, low-ego and team-spirited.

Join us to be part of a pioneering company shaping the future of AI. Together, we can make a meaningful impact. See more about our culture on https://mistral.ai/careers.

About The Job

Mistral AI is seeking an Applied Scientist to drive innovative research and facilitate the adoption of its products among customers, collaborating with them to address complex technical challenges.

The Applied Scientist will be an integral part of our Applied AI Engineering team, which is dedicated to driving the successful deployment of Mistral AI products. They will work hand-in-hand with customers from the pre-sale stage to post-implementation, ensuring our solutions meet and exceed client expectations.

In this role, you’ll manage daily customer relations involving multiple stakeholders (CEO/CTO, data scientists, and software engineers) and function as a key resource in externalizing our research in production settings.

What you will do


 * Run pre-training, post-training and deploy state of the art models on clusters with thousands of GPUs. You don’t panic when you see OOM errors or when NCCL feels like not wanting to talk
 * Generate and curate data for pre-training and post-training, working on evaluations and making sure the model’s performance beats expectations
 * Develop the necessary tools and frameworks to facilitate data generation, model training, evaluation and deployment
 * Collaborate with cross-functional teams to tackle complex use cases using agents and RAG pipelines
 * Manage research projects and communications with client research teams
   
   
   

About You


 * You are fluent in English, and have excellent communication skills. You are at ease explaining complex technical concepts to both technical and non-technical audiences
 * You’re an expert with PyTorch or JAX
 * You’re not afraid of contributing to a big codebase and can find yourself around independently with little guidance
 * You write clean, readable, high-performance, fault-tolerant Python code
 * You don’t need roadmaps: you just do. You don’t need a manager: you just ship
 * Low-ego, collaborative and eager to learn
 * You have a track record of success through personal projects, professional projects or in academia
   
   
   

It would be great if :


 * You hold a PhD / master in a relevant field, however, whatever your background - if you’re an exceptional candidate, you should apply
 * Can bring a variety of research experience (agents, multi-modality, robotics, diffusion, time-series)
 * Have contributed to a large codebase used by many (open source or in the industry)
 * Have a track record of publications in top academic journals or conferences
 * Love improving existing code by fixing typing issues, adding tests and improving CI pipelines
   
   
   

Benefits

We have local offices in Paris, London, Marseille and Singapore.

France

💰 Competitive cash salary and equity

🥕 Food : Daily lunch vouchers

🥎 Sport : Monthly contribution to a Gympass subscription

🚴 Transportation : Monthly contribution to a mobility pass

🧑‍⚕️ Health : Full health insurance for you and your family

🍼 Parental : Generous parental leave policy

🌎 Visa sponsorship

UK

💰 Competitive cash salary and equity

🚑 Insurance

🚴 Transportation: Reimburse office parking charges, or 90GBP/month for public transport

🥎 Sport: 90GBP/month reimbursement for gym membership

🥕 Meal voucher: £200 monthly allowance for its meals

💰 Pension plan: SmartPension (percentages are 5% Employee & 3% Employer)","4261758441","Greater Munich Metropolitan Area","3 days ago","2025-07-03","","Technology, Information and Internet","Applied AI Engineer, Applied Science - EMEA"
"CODA100","CODA100 is seeking a talented and versatile AI Developer/Engineer to design, develop, and implement AI-driven solutions that leverage Machine Learning (ML), Large Language Models (LLMs), and Natural Language Processing (NLP). This role combines hands-on technical work with opportunities to collaborate, innovate, and create impactful solutions tailored to real-world business challenges. You will work with cutting-edge technologies like Retrieval-Augmented Generation (RAG) and modern deployment tools to deliver production-ready systems that drive meaningful change.

Project Scope

As an AI Developer/Engineer, you will focus on building, deploying, and optimizing AI-powered solutions. This includes:


 * Experimenting with Large Language Models, Generative AI frameworks and advanced search technologies to design and deploy scalable solutions for tasks such as text generation, summarization, conversational AI, and recommendation systems.
 * Designing scalable AI architectures and deploying them using containerization tools like Docker and Kubernetes.
 * Developing and managing APIs that connect AI capabilities with external systems.
 * Collaborating with clients and stakeholders to identify AI-driven opportunities and create tailored solutions.
 * Delivering training sessions, workshops, or presentations to share AI insights and demonstrate solutions.
   
   

Duties

Deliverables


 * Build, fine-tune, and deploy AI and LLM models for tasks such as text generation, summarization, and semantic search.
 * Implement Retrieval-Augmented Generation (RAG) workflows to enhance AI performance using vector databases and embeddings.
 * Develop robust APIs for seamless integration of AI capabilities into business workflows.
 * Use cloud platforms (e.g., AWS, Azure) for AI solution deployment and scaling.
 * Optimize and deploy containerized AI solutions with tools like Docker and Kubernetes.
 * Create presentations, documentation, and training materials to support knowledge-sharing and solution adoption.
   
   

Responsibilities


 * AI Solution Development: Design, implement, and test AI models, focusing on Machine Learning, Generative AI, and LLMs.
 * RAG Integration: Build workflows leveraging Retrieval-Augmented Generation to enhance search and recommendation capabilities.
 * API Development: Develop and maintain scalable APIs for AI models to ensure easy integration and usability.
 * Cloud Deployment: Deploy AI applications on AWS, Azure, or similar platforms, ensuring reliability and scalability.
 * Containerization: Use Docker and Kubernetes to manage containerized applications and streamline deployment processes.
 * Knowledge Sharing: Lead or support training sessions, workshops, or presentations to share AI best practices and insights with teams and clients.
 * Collaboration: Work closely with cross-functional teams to identify AI opportunities and deliver tailored solutions.
 * Continuous Improvement: Monitor and refine deployed solutions to ensure optimal performance and alignment with business objectives.
   
   

Required Skills

Skills and Qualifications: Education


 * Bachelor’s degree in Computer Science, Artificial Intelligence, Data Science, or a related field; a Master’s degree is a plus.
   
   

Experience


 * Practical experience with Large Language Models (LLMs), Generative AI frameworks, and Machine Learning (ML) techniques.
 * Hands-on experience in building and deploying AI solutions using modern frameworks and cloud platforms.
 * Familiarity with Retrieval-Augmented Generation (RAG) workflows, vector databases, and embeddings.
 * Proven ability to plan and deliver trainings, workshops, or presentations related to AI technologies.
   
   

Technical Skills


 * Strong proficiency in Python for AI development.
 * Experience with AI and ML frameworks such as TensorFlow, PyTorch, or Hugging Face Transformers.
 * Knowledge of Natural Language Processing (NLP) concepts and tools (e.g., spaCy, NLTK).
 * Familiarity with containerization tools like Docker and orchestration platforms like Kubernetes.
 * Experience with cloud platforms such as AWS, Microsoft Azure, or Google Cloud Platform (GCP).
 * Proficiency in developing and deploying APIs for AI models and solutions.
   
   

Preferred Skills


 * Familiarity with prompt engineering techniques (e.g., zero-shot, few-shot prompting).
 * Understanding of data pipelines and tools for data preprocessing and feature engineering.
 * Hands-on experience in training and fine-tuning open-source models using transfer learning or reinforcement learning.
 * Experience with frontend frameworks like React, Vue.js, or Angular to create user-friendly interfaces for AI solutions.
 * Knowledge of ethical AI principles and their application in solution design.
   
   

Certifications (Optional)


 * Relevant certifications such as AWS Certified Machine Learning Specialty, Azure AI Engineer Associate, or TensorFlow Developer Certificate are a plus.
   
   

Soft skills


 * Strong analytical skills with a focus on problem-solving.
 * Excellent communication skills to collaborate with technical and non-technical teams.
 * Ability to deliver engaging and informative presentations.
 * Adaptability to work in an Agile environment and handle diverse projects.
   
   

What we offer

Work Arrangement


 * Location: Remote work
 * Work Hours: Availability for 30-40 hours per week.
 * Agile collaboration in an international team
   
   

Compensation and Payment Terms


 * Hourly Rate: Negotiable, depending on experience.
 * Payment Schedule: Monthly","4101197698","Frankfurt Rhine-Main Metropolitan Area","6 months ago","2024-12-16","","IT Services and IT Consulting","AI Developer"
"mediaire","Your Responsibilities

Don’t see the right role? We’re always open to great talent!

At mediaire, we're always on the lookout for passionate and talented individuals who want to shape the future of AI in neuroimaging. As a fast-growing company, we welcome proactive candidates who are eager to make an impact – even if there’s no current vacancy that perfectly fits your profile.

Please send us a short motivation letter with your application, specifying the department you are interested in.

YOUR BACKGROUND

In Order To Reach Our Desired Target, We Need The Best Talent - Starting From Interns Up To Junior- Or Senior Managers, To Support Our Teams In The Following Departments


 * Business Development
 * Customer Success
 * Finance & Legal
 * Digital Marketing
 * Product & Engineering
 * Sales
   
   

What You Can Expect


 * Focus on what matters: At our company, competence, personality, and commitment are more important than formalities or the study program you chose.
 * Your Impact: Your work helps make disease diagnosis faster, more precise, and more manageable.
 * Your Team: Join a highly motivated, interdisciplinary team with fast decision-making processes and a collaborative atmosphere.
 * Freedom to choose: Work remotely or from our office in Berlin-Kreuzberg—whatever suits you best.
 * Benefits: Use your personal benefits budget flexibly and choose the perks that suit you best!
   
   

About Us

mediaire was founded in 2018 by Dr. Andreas Lemke and Dr. Jörg Döpfert – both physicists with a background in MRI physics. The real founding history, however, dates back to 2009 when the scientific paths of Andreas and Jörg crossed several times with the renowned radiologist Prof. Henrik Michaely. Coming from different backgrounds and discovering that each had the same goal, the idea of a scientifically and economically successful high-tech product took shape – a software powered by artificial intelligence (AI) that allows highly efficient analysis of medical imaging data in Radiology to support radiologists in their daily routine.","3953360339","Berlin, Berlin, Germany","1 year ago","2024-06-19","","Software Development","Talent wanted (all)"
"greenventory","""We take the energy transition to the cities!"" - With your help?


We believe that the energy transition doesn't have to be complicated. We offer municipalities, grid operators and energy suppliers the necessary decision-making and data basis for forward-looking planning of energy systems.


For the support in the field of Datascience we offer you a student position or an internship.


Aufgaben

   
   
 * Read, pre-process and clean data sets.
   
   
 * Analyze data using statistical methods, energy models and machine learning techniques.
   
   
 * Create and validate energy models.
   
   
 * Support decision-making in energy based on data.
   
   


Qualifikation

   
   
 * You love Python and aim for clean code.
   
   
 * You are passionate about datascience.
   
   
 * You work independently on challenging tasks.
   
   
 * You study something connected with energy or computer science.
   
   
 * You are a proactive team player who is not afraid to take initiative to improve things.
   
   
 * You look forward to bringing in your own ideas, implementing them and learning a lot.
   
   


Benefits

   
   
 * Flexible working: Whether you are an early bird or a late starter, you can schedule your working hours flexibly.
   
   
 * Fair payment: We offer an attractive salary package.
   
   
 * Great workplace: We work in a state-of-the-art office with top equipment, located in Freiburg.
   
   
 * Team spirit: Both in your daily work as well as in regular after-work activities or company outings - you can look forward to a team of full-time employees and other working students in which you are fully integrated and enjoy your work from the very beginning.
   
   
 * Career perspectives: Work in a sustainable, socially relevant and absolutely promising field.
   
   
 * Personal training and development opportunities: We offer you the opportunity to quickly take on responsibility in projects as part of a strong team and to grow in new and exciting activities.
   
   


""But why exactly greenventory?""


Together with us, you have the opportunity to realise projects in an ambitious team that will help shape the future. Through your work, you'll make an important contribution to advancing the energy transition and paving the way towards climate neutrality.


Sounds good? Apply now!","4256644853","Freiburg, Baden-Württemberg, Germany","6 days ago","2025-07-01","","Renewable Energy Semiconductor Manufacturing","Student Datascience"
